Account_ID,LoadBalancer_Name,DNS_Name,State,VPC_ID,Availability_Zones,Type,Date_Created
503095242877,"IBM-ISV-Gateway-MTS-TestNLB","IBM-ISV-Gateway-MTS-TestNLB-3e13cf01ea54f71e.elb.ap-southeast-2.amazonaws.com","active","vpc-06e884891c7e928e1","ap-southeast-2b;ap-southeast-2a","network","2023-05-17T10:24:49.153000+00:00"
503095242877,"iexprd01cmna2a-farm-nlb","iexprd01cmna2a-farm-nlb-41268497d21f13a5.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2b;ap-southeast-2a","network","2022-07-07T09:23:00.718000+00:00"
503095242877,"iexuat01cmnb2b-farm-nlb","iexuat01cmnb2b-farm-nlb-4835df3655af8d9b.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2b;ap-southeast-2c","network","2022-07-07T09:03:05.677000+00:00"
503095242877,"ricoh-int-nlb","ricoh-int-nlb-4aa6d7fe42b2e607.elb.ap-southeast-2.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a","network","2023-05-24T03:53:05.714000+00:00"
503095242877,"Solarwind-orion-Web-NLB","Solarwind-orion-Web-NLB-54644b8c633e971f.elb.ap-southeast-2.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a","network","2024-04-05T11:49:18.097000+00:00"
503095242877,"webm-prod-backend","webm-prod-backend-68980f1f715c3023.elb.ap-southeast-2.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2a;ap-southeast-2b","network","2024-01-10T06:01:44.083000+00:00"
503095242877,"iexprd01cmnb2b-farm-nlb","iexprd01cmnb2b-farm-nlb-69ce21cdf93c98bd.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2a;ap-southeast-2b","network","2022-07-07T09:22:59.857000+00:00"
503095242877,"iexprd01legb2b-farm-nlb","iexprd01legb2b-farm-nlb-6a4c565adb3a0acc.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2b;ap-southeast-2a","network","2022-07-07T09:23:00.025000+00:00"
503095242877,"api-nlb","api-nlb-6b232d39b5dced9b.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2b;ap-southeast-2a","network","2022-09-19T06:27:23.404000+00:00"
503095242877,"iexuat01cmna2a-farm-nlb","iexuat01cmna2a-farm-nlb-7e5639c7c704c15b.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2c;ap-southeast-2b","network","2022-07-07T09:03:05.983000+00:00"
503095242877,"IBM-ISV-Gateway-OrderMTS-TestNLB","IBM-ISV-Gateway-OrderMTS-TestNLB-882e132972feb7d6.elb.ap-southeast-2.amazonaws.com","active","vpc-06e884891c7e928e1","ap-southeast-2b;ap-southeast-2a","network","2023-05-17T10:18:56.581000+00:00"
503095242877,"iexuat01mft-farm-nlb","iexuat01mft-farm-nlb-92ba16958f3b6e6b.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2c;ap-southeast-2b","network","2022-07-07T09:03:05.712000+00:00"
503095242877,"dropbox-nlb","dropbox-nlb-940c83b28b722391.elb.ap-southeast-2.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a","network","2022-11-24T09:11:36.461000+00:00"
503095242877,"iexprd01awsb2b-farm-nlb","iexprd01awsb2b-farm-nlb-977841c546cc5a76.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2a;ap-southeast-2b","network","2022-07-07T09:23:00.503000+00:00"
503095242877,"gen-uiservices-farm-nlb","gen-uiservices-farm-nlb-9d2b893c8d806d54.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2a;ap-southeast-2b","network","2022-07-07T09:22:59.790000+00:00"
503095242877,"iexprd01tolb2b-farm-nlb","iexprd01tolb2b-farm-nlb-a3ee74add9655eb9.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2b;ap-southeast-2a","network","2022-07-07T09:22:59.960000+00:00"
503095242877,"gen-uat-farm-nlb","gen-uat-farm-nlb-a5af123e2ec5b45a.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2b;ap-southeast-2c","network","2022-09-05T06:53:35.799000+00:00"
503095242877,"Solarwinds-NLB","Solarwinds-NLB-b002f1fa3c5914fb.elb.ap-southeast-2.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2a;ap-southeast-2b","network","2022-07-29T09:50:37.615000+00:00"
503095242877,"iexuat01eex-farm-nlb","iexuat01eex-farm-nlb-b6507bfebf6e5148.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2b;ap-southeast-2c","network","2022-09-05T07:09:41.187000+00:00"
503095242877,"api-qa-nlb","api-qa-nlb-bc0197824f607db9.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2b;ap-southeast-2a","network","2022-09-13T05:04:19.366000+00:00"
503095242877,"IBM-ISV-Gateway-OrderMTS-NLB","IBM-ISV-Gateway-OrderMTS-NLB-c270b5d35a79c1f1.elb.ap-southeast-2.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2a;ap-southeast-2b","network","2023-05-16T03:41:13.056000+00:00"
503095242877,"iexuat01awsb2b-farm-nlb","iexuat01awsb2b-farm-nlb-c2819053e8728212.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2b;ap-southeast-2c","network","2022-07-07T09:03:05.840000+00:00"
503095242877,"gen-farm-nlb","gen-farm-nlb-c3f060ca76ef74b2.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2a;ap-southeast-2b","network","2022-09-13T12:06:55.122000+00:00"
503095242877,"api-int-nlb","api-int-nlb-d463a69c8925381b.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2a;ap-southeast-2b","network","2022-07-07T09:23:00.126000+00:00"
503095242877,"api-uat-int-nlb","api-uat-int-nlb-d86290b030757e5a.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2c;ap-southeast-2b","network","2022-09-05T09:33:02.456000+00:00"
503095242877,"b2b-uat-farm-nlb","b2b-uat-farm-nlb-d9cc2a641ec141a2.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2b;ap-southeast-2c","network","2022-09-19T06:49:37.705000+00:00"
503095242877,"api-uat-nlb","api-uat-nlb-e1ea3012b59864e3.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2c;ap-southeast-2b","network","2022-09-12T08:38:02.554000+00:00"
503095242877,"iexuat01tolb2b-farm-nlb","iexuat01tolb2b-farm-nlb-e9335f65cf0a5938.elb.ap-southeast-2.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2c;ap-southeast-2b","network","2022-07-07T09:03:05.891000+00:00"
503095242877,"iexprd01mft-farm-nlb","iexprd01mft-farm-nlb-fca7a66bfec1fae8.elb.ap-southeast-2.amazonaws.com","active","vpc-0efccc9bc18221daa","ap-southeast-2a;ap-southeast-2b","network","2022-07-07T09:23:00.088000+00:00"
503095242877,"IBM-ISV-Gateway-ALB-Test","IBM-ISV-Gateway-ALB-Test-1830464201.ap-southeast-2.elb.amazonaws.com","active","vpc-06e884891c7e928e1","ap-southeast-2c;ap-southeast-2b;ap-southeast-2a","application","2022-12-06T07:39:29.510000+00:00"
503095242877,"IBM-ISV-Gateway-ALB","IBM-ISV-Gateway-ALB-1986190195.ap-southeast-2.elb.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2c;ap-southeast-2b;ap-southeast-2a","application","2022-12-08T07:22:22.890000+00:00"
503095242877,"api-uat-alb","api-uat-alb-1094885272.ap-southeast-2.elb.amazonaws.com","active","vpc-0ee23d6aa704a869b","ap-southeast-2c;ap-southeast-2b","application","2023-02-20T01:33:25.850000+00:00"
503095242877,"TGE-PwdReset-ALB-Test","internal-TGE-PwdReset-ALB-Test-66176193.ap-southeast-2.elb.amazonaws.com","active","vpc-06e884891c7e928e1","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2023-11-02T05:46:17.180000+00:00"
503095242877,"Precom-WebM-PROD","internal-Precom-WebM-PROD-1819114206.ap-southeast-2.elb.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a;ap-southeast-2c","application","2024-01-10T06:05:20.550000+00:00"
503095242877,"kodakinfuse-prod","internal-kodakinfuse-prod-29559944.ap-southeast-2.elb.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a;ap-southeast-2c","application","2024-02-09T00:10:50.550000+00:00"
503095242877,"IBM-ISV-Gateway-ALB-Test-Private","internal-IBM-ISV-Gateway-ALB-Test-Private-678334258.ap-southeast-2.elb.amazonaws.com","active","vpc-06e884891c7e928e1","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","application","2024-08-09T07:33:32.490000+00:00"
503095242877,"IBM-ISV-Gateway-ALB-Private","internal-IBM-ISV-Gateway-ALB-Private-1789993174.ap-southeast-2.elb.amazonaws.com","active","vpc-0588bf1f78055cff7","ap-southeast-2b;ap-southeast-2a;ap-southeast-2c","application","2024-08-30T10:39:30.100000+00:00"
503668926494,"TollWorks-Reporting-PREPROD-NLB","TollWorks-Reporting-PREPROD-NLB-33fe6cb8f06bf485.elb.ap-southeast-2.amazonaws.com","active","vpc-0d4a64719afa102b4","ap-southeast-2b;ap-southeast-2a","network","2024-12-04T04:24:42.002000+00:00"
503668926494,"TollWorks-PREPROD-NLB","TollWorks-PREPROD-NLB-4c4abf5548806f08.elb.ap-southeast-2.amazonaws.com","active","vpc-0d4a64719afa102b4","ap-southeast-2a;ap-southeast-2b","network","2024-12-03T11:52:44.135000+00:00"
503668926494,"ILFT-PREPROD-NLB","ILFT-PREPROD-NLB-6ba6f6cfbf1dc065.elb.ap-southeast-2.amazonaws.com","active","vpc-0d4a64719afa102b4","ap-southeast-2a;ap-southeast-2b","network","2025-03-29T09:02:19.158000+00:00"
503668926494,"TollWorks-PREPROD-ALB","internal-TollWorks-PREPROD-ALB-1179942258.ap-southeast-2.elb.amazonaws.com","active","vpc-0d4a64719afa102b4","ap-southeast-2a;ap-southeast-2b","application","2025-01-23T06:31:28.489000+00:00"
503668926494,"TollWorks-Reporting-PREPROD-ALB","internal-TollWorks-Reporting-PREPROD-ALB-893099612.ap-southeast-2.elb.amazonaws.com","active","vpc-0d4a64719afa102b4","ap-southeast-2a;ap-southeast-2b","application","2025-02-05T18:41:24.031000+00:00"
503668926494,"ILFT-PREPROD-ALB","internal-ILFT-PREPROD-ALB-1062777400.ap-southeast-2.elb.amazonaws.com","active","vpc-0d4a64719afa102b4","ap-southeast-2a;ap-southeast-2b","application","2025-02-07T12:51:08.985000+00:00"
526578843223,"http-dynatrace-relay-alb","internal-http-dynatrace-relay-alb-1307117084.ap-southeast-2.elb.amazonaws.com","active","vpc-0795466f0d03ef3a9","ap-southeast-2a;ap-southeast-2b","application","2025-04-28T10:45:51.819000+00:00"
644348495995,"http-dynatrace-relay-alb","internal-http-dynatrace-relay-alb-1410046337.ap-southeast-2.elb.amazonaws.com","active","vpc-00a1387747696873f","ap-southeast-2b;ap-southeast-2a","application","2025-05-20T08:23:51.441000+00:00"
742069625158,"TollWorks-Reporting-NLB","TollWorks-Reporting-NLB-094d0e7daa1f4ed2.elb.ap-southeast-2.amazonaws.com","active","vpc-02993da03751f1497","ap-southeast-2a;ap-southeast-2c;ap-southeast-2b","network","2025-02-20T18:56:58.606000+00:00"
742069625158,"TollWorks-APP-NLB","TollWorks-APP-NLB-934bbf4323437e16.elb.ap-southeast-2.amazonaws.com","active","vpc-02993da03751f1497","ap-southeast-2b;ap-southeast-2c;ap-southeast-2a","network","2025-02-20T17:37:32.351000+00:00"
